1c962371-fab6-41c3-b679-8389f264f9e8,Koolstofdioxide (CO2) emissies naar lucht 2014.
24723306-0b46-4a2d-b99a-433d25cba23a,Koolstofvastlegging in de bodem bij achterlaten gewasresten
32c730ee-2cbc-45a6-a75e-be8dccffbfa7,Koolstofvastlegging in de bodem bij akkerrandenbeheer
114dead9-6fff-4240-b69e-f5ceebb7a06a,Koolstofvastlegging in de bodem bij groenbemesting
9a8086b8-90b6-463a-b357-b4d034478025,Koolstofvastlegging in de bodem bij niet kerende grondbewerking
2616d696-17a8-4079-8310-c2811d1f3c15,Koolstofvastlegging in de bodem bij niet scheuren grasland
2261f433-ac1c-49e2-a0ed-b945a6b59e5f,Koolstofvastlegging in de bodem bij verbeteren gewasrotatie
29e1bb9e-0646-4d30-adde-b334f5062655,Koolstofvastlegging in de bodem zonder grondbewerking
44d77864-928d-46a5-9585-b73315d04834,Koolstofvastlegging in de bodem: totaal van alle maatregelen
eebef4d7-0648-4298-b09a-d7c6ad251c93,Koper (Cu) belasting oppervlaktewater 2014
71ef2069-e1be-40d8-a1b6-f194942402e4,Koper (Cu) emissies naar bodem 2014
5b2b572e-fe3f-4ed7-83b4-4393d53081f1,Koperverbindingen (Cu) emissie uit verkeer 2014
bfc80838-a818-47c9-b4cb-af9ee125085f,Kwik (Hg) belasting oppervlaktewater 2014
560c3362-b6b8-466b-8a07-16758df671c1,Kwik (Hg) emissies naar bodem 2014
d24ccb35-e9d2-41bf-b231-43083fc0c76d,LCP emissies (Richtlijn Industriële emissies) 2016
ff8f6da2-949e-4838-90f6-fd895a4a240f,LCP emissies (Richtlijn Industriële emissies) 2016 (WFS)
745968a3-37af-4406-988e-ec595f58c7fe,LCP emissies (Richtlijn Industriële emissies) 2016 (WMS)
f39d198a-1e69-43cc-b359-cc60a8c22d28,Meetwaarden van Luchtkwaliteitsstations in Nederland.
c8853c6c-654f-44c8-aa53-2d4cd7579141,Methaan (CH4) emissies naar lucht 2014
36a7e8cb-8300-4602-93d2-135943365a6f,Monitoring stations (Nitraatrichtlijn) diepe filters
224d93f6-0e4e-41fe-8424-1ab11a6c55ed,Monitoring stations (Nitraatrichtlijn) diepe filters (WFS)
755d488b-7b94-4883-95be-6aa279604f85,Monitoring stations (Nitraatrichtlijn) diepe filters (WMS)
b3f66964-a8c1-456f-9799-9cafca2cb7b1,Monitoring stations (Nitraatrichtlijn) ondiepe filters
b4485d59-a945-4940-a2f5-3ce7de6a947b,Monitoring stations (Nitraatrichtlijn) ondiepe filters (WFS)
081bcfff-5f66-467c-95d0-d88dcf9aa4cf,Monitoring stations (Nitraatrichtlijn) ondiepe filters (WMS)
d469c295-3428-4dbd-b778-2bce2c2ce777,Nachtelijk geluid in Nederland van wegverkeer (Lnight)
da2b9b61-af43-49ce-9e0c-a0006bdc3802,Niet-methaan VOS (NMVOS) emissies naar lucht 2014
35af6372-0370-4525-b254-b2394aba9eed,Potentieel aanbod natuurlijke bestuiving
67873270-b761-4431-8730-7a7b4d57db82,Potentiële Natuurlijke Plaagregulatie
d36f56e2-cdb5-4674-96a4-24e9877e288c,Potentiële houtoogst van stamhout buiten het bos
b0e499ae-c384-4855-a194-eaa572c8bb08,Potentiële houtoogst van stamhout van het Nederlandse bos
f29210a8-52fa-4684-baa5-77f1edc8271f,Potentiële invang fijn stof (PM10) door vegetatie
36943bc8-b29e-4f04-ae89-265254cfb480,Potentiële oogst van tak- en tophout buiten het bos
2ef7f20c-bcae-49ec-a844-5e58d52cda1f,Regenwormen in Nederland (aantal Taxa)
a91d5167-e32a-43e5-8ecd-62d82fb2d112,Regenwormen in Nederland (abundantie)
bcee5974-a06f-45ac-87d0-2a483cd73ecd,Regulatie erosierisico
4876b740-87bf-4619-a46f-d2c1009d3f41,Roet (EC) 2016
5886adfa-3d2e-4847-bfba-bebac0d154ff,Staande houtvoorraad van het Nederlandse bos
23979b67-feeb-4910-8e53-40d7b60db651,Stikstof (N-totaal) belasting oppervlaktewater 2014
75c12d90-3475-4767-a68c-3a5318b4063e,Stikstof (N-totaal) belasting oppervlaktewater, nationaal totaal emissiejaar 2014 in kg. Emissieregistratie 1990-2014 (vastgesteld 2016)
364a6edc-a6a1-4f58-8ffb-642314ed67dc,Stikstofdioxide 2016 (NO2)
f89b2455-a001-4cbb-b9a5-203a49527203,Stikstofoxiden (als NOx) emissies naar lucht 2014
67680f57-3e85-48ed-94cf-49e281341245,Vegetatiekaart Loonse- en Drunense duinen
237be268-e546-4891-833c-fe96c2386e66,Vochtleverend vermogen door de bodem
de8e30cc-fd1d-4560-afaf-bf8186569b9e,Zink (Zn) belasting oppervlaktewater 2014
2cc2c30c-91b8-412a-a060-e84d25272581,Zones en agglomeraties (Richtlijn Luchtkwaliteit) 2013
9fd2324b-9e02-4eab-bd4a-8e2be4fcd545,Zones en agglomeraties (Richtlijn Luchtkwaliteit) 2013 (WFS)
23aa5150-fcc7-46ea-ae63-a7f198d8bc18,Zones en agglomeraties (Richtlijn Luchtkwaliteit) 2013 (WMS)
fa63146f-8ca4-4f11-b696-1ff54f869ed7,Zwaveloxiden (als SO2) emissies naar lucht 2014
79363736-eb95-4ce3-8538-f637903e31d9,geluidhinder wegen >50 km/u per gemeente in 2016
